page,chars_extracted,words_extracted,preview
295,2176,333,"294 22.4 Name of Scheme: Nirbhaya Fund   Violence and abuse against women and girls is frequent on streets, in public transportation and in  other public places. Such occurrences restrict women‟s right to mobility, discouraging their  freedom to walk freely and move in public spaces of their choice. Such violence also limits their  access to essential services and adversely impact their health and wellbeing.   In this context, and following the tragedy of December 2012, the Government has set up..."
296,1844,272,"295 o Outputs – product of the project. E.g. number of people reached, area covered etc.   o Measurable outcomes – expected achievement of the project. E.g. increase in  prosecutions of crime against women, reduction in crime rate etc.   E.g. installation of 500 CCTVs at crime prone areas and public places is a project  output. However, this offers no indication of whether the technology is actually used or  if it improves police effectiveness. The outcome of such a project could be a reduction ..."
297,1719,252,"296 • Following recommendation by the Empowered Committee, the concerned  Ministry/ Department should place the proposal before the Competent Authority  for approval subject to the following financial limits:   o Up to Rs. 100 Cr: Secretary, Concerned Ministry   o Rs. 100-500 Cr: Minister of Concerned Ministry   o Rs. 500-1000 Cr: Minister of Concerned Ministry and MoF   o Above Rs. 1000 Cr: Cabinet Committee on Economic Affairs (CCEA)   • After obtaining the necessary approvals and subject to t..."
298,2045,334,297 22.5 Name of Scheme: Pradhan Mantri Matritva Vandana Yojana (PMMVY)   The Pradhan Mantri Matritva Vandana Yojana (PMMVY) is a maternity benefit program run by  the Government of India. It is a conditional cash transfer scheme for pregnant and lactating  women of 19 years of age or above for first two live births. It provides partial wage  compensation to women for wage -loss during childbirth and childcare and to provide conditions  for safe delivery and good nutrition and feeding practices....
299,1629,235,298 • The eligible beneficiaries would receive the incentive given under the Janani Suraksha  Yojana (JSY) for Institutional delivery and the incentive received under JSY would be  accounted towards maternity benefits so that on an average a woman gets ` 6000/ -.   Funding Pattern: The Government of India funds would be based on the following cost sharing  ratio between the Centre and the States/UTs:  All States/UTs (with legislature) 60:40  NER and Himalayan States 90:10  Union Territories with...
300,1644,254,"299 a) Project that suggests a new approach to tackle a pressing social problem.   b) Project which fills essential gaps in existing services and complements them so as to  maximise the impact.  c) Project to tackle a problem area which is relatively unserviced but where need is  urgent.  d) Project which provides integrated services, all the components need not be  financially supported by one source.  e) Project which is community based and renders non-institutional services.   Where the natur..."
301,2360,356,"300 22.7 Name of Scheme: Beti Bachao Beti Padhao (BBBP)   Coordinated and convergent efforts are needed to ensure survival, protection and education of  the girl child. In this background, Beti Bachao Beti Padhao (BBBP) Scheme was launched by the  Hon‟ble Prime Minister on 22nd January, 2015 in Panipat, Haryana to address the issue of  decline in CSR and related issues of empowerment of girls and women over a life cycle  continnum. The scheme was initially launched in 100 districts in 2014 -15, ..."
302,2262,338,"301 • Engage with Communities to challenge gender stereotypes and social norms.  • Ensure service delivery structures/schemes & programmes are sufficiently responsive to  issues of gender and children‟s rights.  • Enable Inter -sectoral and inter -institutional convergence at District/Block/Grassroot  levels.   Funding Pattern:   Beti Bachao Beti Padhao(BBBP) scheme shall be operated/implemented under the Centrally  Sponsored Umbrella Scheme namely, Mission for Protection and Empowerment for Wom..."
303,2697,400,"302 established. The capacity of Swadhar Greh could be expanded up to 50 or 100 on the basis of  need assessment and other important parameters.   Salient features:  The objectives cited above would be pursued adopting the following strategies: a) Temporary  residential accommodation with the provision of food, clothing, medical facilities etc. b)  Vocational and skill up gradation trainings for economic rehabilitation of such women c)  Counseling, awareness generation and behavioral trainings d..."
304,1895,289,"303 Ministry of Ministry of Youth Affairs and Sports     23.1 Name of Scheme: National Service Scheme (NSS)   The National Service Scheme (NSS) is a Central Sector Scheme of Government of India,  Ministry of Youth Affairs & Sports. It provides opportunity to the student youth of 11th & 12th  Class of schools at +2 Board level and student youth of Technical Institution, Graduate & Post  Graduate at colleges and University level of India to take part in various government led  community service ac..."
305,1653,254,304 Major Activities:   National Integration Camp (NIC):   The National Integration Camp (NIC) is organized every year and the duration of each camp is of  7 days with day -night boarding & lodging. These camps are held in different parts of the country.  Each camp involves 200 NSS volunteers to undertake the scheduled activities.   Objectives of the National Integration Camp   Make the NSS volunteers aware of the following:   • Rich cultural diversity of India   • History of our diversified cul...
306,1704,249,"305 participates in the Republic Day Parade at Rajpath, New Delhi on 26th of January every year in  accordance with the guidelines and requisition of the Ministry of Defence.   Objectives of NSS Republic Day Parade Camp   • Enable the volunteers to interact with fellow members hailing from various parts of India.   • Experience the tradition, custom, culture, language of all states of India.   • Provide a chance to develop overall personality of the Student volunteers.   • Constitute the bond of..."
307,2198,337,"306 23.2 Name of Scheme: National Youth Development Fund   The National Youth Development Fund (NYDF) was established in July 2015 under Charitable  Endowments Act, 1890 with the aim of promoting Development of Youth in the country.  Type of scheme : Central Sector Scheme  Year of Commencement: 2015  Objectives:  • To administer and apply the moneys of the Fund for all round development and  empowerment of youth, in accordance with the objectives of the National Youth Policy;  • To take up progr..."
308,2309,342,"307 decisions. The Committee may also refer any application before consideration, to the Council or  any other body (if it thinks it is necessary to do so) for expressing its views.   After approval of the proposal/application from the Government/Non - Government Organization,  the NYDF will release assistance in instalments - normally 75% of the approved amount as  advance and the balance amount on completion of the project. In exceptional cases, advance  up to 90% can be released. The balance ..."
309,2476,341,"308 All Government/Non -Governmental Organization/Individual, registered as a Society or Public  Trust or under any other legislation (except for Individual), having a track record of undertaking  youth development activities for at least three years shall be eligible for applying for financial  assistance from the Fund.   Individuals with disability and women will be given special consideration.   Area of Operation: All States and Union Territories   For detail Information visit: https://yas.ni..."
310,1886,276,"309 support including development of information and database on issues concerning youth and  adolescents.   Long -term objectives: - Engage and channelise the energy of youth in a positive manner for  nation building; - Develop amongst youth a sense of pride in nationally accepted values like  democracy, socialism, and secularism; - Promote activities and programmes, which foster social  harmony and national unity among youth; - Promote spirit of national integration, unity in  diversity, pride..."
311,2028,280,"310 (d) Development and Empowerment of  Adolescents i. Life Skills Education  ii. Counselling  iii. Career Guidance  iv. Residential Camps  (e) Technical and Resource Development i. Environment Building  ii. Research & Studies on youth issues  iii Documentation & Publication  iv Seminars, Conferences, Exhibitions  and Workshops on youth or adolescent  issues, national integration and  adventure      Beneficiaries: The targeted beneficiaries of the programmes include members of the youth clubs  a..."
312,2590,401,311 (e) The organization must have an active website and web address   (f) All the applications for grants under the Scheme must be received electronically on -line  within the stipulated time limit.   (g) The organizations seeking grants must also be prepared to make a presentation before the  designated authority whenever asked to do the same and failure to do so may debar them from  receiving any future grants from the Government.   (h) The organizations seeking grants must be able to complet...
313,1719,253,"312 (a) Youth Leadership and Personality Development  (i) Youth Leadership and Personality  Development Training Project Rs. 3,00,000/ - AIOs/SLOs  (b) Promotion of National Integration  (i) National Integration Camp for  150 persons for 7 days duration at  • State Capitals  • Other Places   Rs. 4,30,000/ -  Rs. 3,53,750/ - AIOs/SLOs  (ii) Inter -State Youth Exchange  Programme for 50 participants for  15 days durations Rs. 2,92,500/ - AIOs/SLOs  (iii) Multi -Cultural Activities Maximum Rs. 3.0 ..."
314,1106,166,"313 (iv) Second Chance Camps (4 months) Rs. 4,56,000/ - AIOs/SLOs  (e) Technical Resource Development  (i) Environment Building Maximum Rs. 2.0  lakh AIOs/SLOs  (ii) Research & Studies on youth issues Maximum Rs. 3.0  lakh for first time  grantee AIOs/SLOs  (iii)  Documentation & Publication Maximum Rs. 3.0  lakh for first time  grantee AIOs/SLOs  (iv) Seminars, Conferences and  Workshops on youth or adolescent  issues including national integration  and adventure.  • National level  • State Lev..."
